lat,lon,time,analysed_sst
34.875,344.875,1239796800,290.91
34.875,345.125,1239796800,290.8
34.875,345.375,1239796800,290.71
34.875,345.625,1239796800,290.65
34.875,345.875,1239796800,290.66
34.875,346.125,1239796800,290.68
34.875,346.375,1239796800,290.78998
34.875,346.625,1239796800,290.9
34.875,346.875,1239796800,290.9
34.875,347.125,1239796800,290.93
34.875,347.375,1239796800,291.0
34.875,347.625,1239796800,291.11
34.875,347.875,1239796800,291.15
34.875,348.125,1239796800,291.13998
34.875,348.375,1239796800,291.16998
34.875,348.625,1239796800,291.19
34.875,348.875,1239796800,291.16998
34.875,349.125,1239796800,291.11
34.875,349.375,1239796800,291.06
34.875,349.625,1239796800,291.09
34.875,349.875,1239796800,291.15
34.875,350.125,1239796800,291.21
34.875,350.375,1239796800,291.22
34.875,350.625,1239796800,291.19
34.875,350.875,1239796800,291.19998
34.875,351.125,1239796800,291.25
34.875,351.375,1239796800,291.22998
34.875,351.625,1239796800,291.22
34.875,351.875,1239796800,291.28998
34.875,352.125,1239796800,291.37
34.875,352.375,1239796800,291.41
34.875,352.625,1239796800,291.35
34.875,352.875,1239796800,291.31
34.875,353.125,1239796800,291.24
34.875,353.375,1239796800,290.94998
34.875,353.625,1239796800,291.06
34.875,353.875,1239796800,
34.875,354.125,1239796800,
34.875,354.375,1239796800,
34.875,354.625,1239796800,
34.875,354.875,1239796800,
34.875,355.125,1239796800,
34.875,355.375,1239796800,
34.875,355.625,1239796800,
34.875,355.875,1239796800,
34.875,356.125,1239796800,
34.875,356.375,1239796800,
34.875,356.625,1239796800,
34.875,356.875,1239796800,
34.875,357.125,1239796800,
34.875,357.375,1239796800,
34.875,357.625,1239796800,
34.875,357.875,1239796800,
34.875,358.125,1239796800,
34.875,358.375,1239796800,
34.875,358.625,1239796800,
34.875,358.875,1239796800,
34.875,359.125,1239796800,
34.875,359.375,1239796800,
34.875,359.625,1239796800,
34.875,359.875,1239796800,
35.125,344.875,1239796800,290.63998
35.125,345.125,1239796800,290.58
35.125,345.375,1239796800,290.55
35.125,345.625,1239796800,290.52
35.125,345.875,1239796800,290.56
35.125,346.125,1239796800,290.62
35.125,346.375,1239796800,290.63998
35.125,346.625,1239796800,290.63
35.125,346.875,1239796800,290.61
35.125,347.125,1239796800,290.6
35.125,347.375,1239796800,290.62
35.125,347.625,1239796800,290.72
35.125,347.875,1239796800,290.81
35.125,348.125,1239796800,290.87
35.125,348.375,1239796800,290.93
35.125,348.625,1239796800,290.97
35.125,348.875,1239796800,290.97
35.125,349.125,1239796800,290.96
35.125,349.375,1239796800,290.96
35.125,349.625,1239796800,291.02
35.125,349.875,1239796800,291.08
35.125,350.125,1239796800,291.12
35.125,350.375,1239796800,291.11
35.125,350.625,1239796800,291.09
35.125,350.875,1239796800,291.16
35.125,351.125,1239796800,291.22998
35.125,351.375,1239796800,291.25
35.125,351.625,1239796800,291.25
35.125,351.875,1239796800,291.3
35.125,352.125,1239796800,291.37
35.125,352.375,1239796800,291.28998
35.125,352.625,1239796800,291.19998
35.125,352.875,1239796800,291.11
35.125,353.125,1239796800,291.08
35.125,353.375,1239796800,290.94998
35.125,353.625,1239796800,290.78
35.125,353.875,1239796800,291.08
35.125,354.125,1239796800,
35.125,354.375,1239796800,
35.125,354.625,1239796800,
35.125,354.875,1239796800,
35.125,355.125,1239796800,289.63
35.125,355.375,1239796800,289.68
35.125,355.625,1239796800,289.65
35.125,355.875,1239796800,289.53998
35.125,356.125,1239796800,289.71
35.125,356.375,1239796800,289.56
35.125,356.625,1239796800,289.63998
35.125,356.875,1239796800,289.57
35.125,357.125,1239796800,290.18
35.125,357.375,1239796800,289.87
35.125,357.625,1239796800,289.97998
35.125,357.875,1239796800,289.9
35.125,358.125,1239796800,289.97
35.125,358.375,1239796800,289.91998
35.125,358.625,1239796800,
35.125,358.875,1239796800,
35.125,359.125,1239796800,
35.125,359.375,1239796800,
35.125,359.625,1239796800,
35.125,359.875,1239796800,
35.375,344.875,1239796800,290.47998
35.375,345.125,1239796800,290.47
35.375,345.375,1239796800,290.47
35.375,345.625,1239796800,290.47998
35.375,345.875,1239796800,290.5
35.375,346.125,1239796800,290.49
35.375,346.375,1239796800,290.41
35.375,346.625,1239796800,290.4
35.375,346.875,1239796800,290.38
35.375,347.125,1239796800,290.35
35.375,347.375,1239796800,290.38998
35.375,347.625,1239796800,290.44
35.375,347.875,1239796800,290.47998
35.375,348.125,1239796800,290.53
35.375,348.375,1239796800,290.6
35.375,348.625,1239796800,290.66
35.375,348.875,1239796800,290.69998
35.375,349.125,1239796800,290.72998
35.375,349.375,1239796800,290.83
35.375,349.625,1239796800,290.97
35.375,349.875,1239796800,291.00998
35.375,350.125,1239796800,290.99
35.375,350.375,1239796800,290.96
35.375,350.625,1239796800,290.97
35.375,350.875,1239796800,291.11
35.375,351.125,1239796800,291.18
35.375,351.375,1239796800,291.19998
35.375,351.625,1239796800,291.22998
35.375,351.875,1239796800,291.27
35.375,352.125,1239796800,291.32
35.375,352.375,1239796800,291.22998
35.375,352.625,1239796800,291.18
35.375,352.875,1239796800,291.03
35.375,353.125,1239796800,290.94
35.375,353.375,1239796800,290.88998
35.375,353.625,1239796800,290.58
35.375,353.875,1239796800,290.88
35.375,354.125,1239796800,
35.375,354.375,1239796800,
35.375,354.625,1239796800,
35.375,354.875,1239796800,289.78
35.375,355.125,1239796800,289.78998
35.375,355.375,1239796800,289.88
35.375,355.625,1239796800,289.78998
35.375,355.875,1239796800,289.69998
35.375,356.125,1239796800,289.71
35.375,356.375,1239796800,289.69998
35.375,356.625,1239796800,289.75
35.375,356.875,1239796800,289.69998
35.375,357.125,1239796800,289.68
35.375,357.375,1239796800,289.66998
35.375,357.625,1239796800,289.71
35.375,357.875,1239796800,289.72
35.375,358.125,1239796800,289.75998
35.375,358.375,1239796800,289.81
35.375,358.625,1239796800,289.88998
35.375,358.875,1239796800,289.8
35.375,359.125,1239796800,
35.375,359.375,1239796800,
35.375,359.625,1239796800,
35.375,359.875,1239796800,
35.625,344.875,1239796800,290.33
35.625,345.125,1239796800,290.35
35.625,345.375,1239796800,290.36
35.625,345.625,1239796800,290.38998
35.625,345.875,1239796800,290.41998
35.625,346.125,1239796800,290.37
35.625,346.375,1239796800,290.35
35.625,346.625,1239796800,290.38998
35.625,346.875,1239796800,290.33
35.625,347.125,1239796800,290.24
35.625,347.375,1239796800,290.27
35.625,347.625,1239796800,290.34
35.625,347.875,1239796800,290.38
35.625,348.125,1239796800,290.38998
35.625,348.375,1239796800,290.38
35.625,348.625,1239796800,290.44
35.625,348.875,1239796800,290.59
35.625,349.125,1239796800,290.69
35.625,349.375,1239796800,290.82
35.625,349.625,1239796800,290.88
35.625,349.875,1239796800,290.84
35.625,350.125,1239796800,290.81
35.625,350.375,1239796800,290.78998
35.625,350.625,1239796800,290.86
35.625,350.875,1239796800,290.99
35.625,351.125,1239796800,291.05
35.625,351.375,1239796800,291.05
35.625,351.625,1239796800,291.0
35.625,351.875,1239796800,291.03998
35.625,352.125,1239796800,291.12
35.625,352.375,1239796800,291.1
35.625,352.625,1239796800,291.07
35.625,352.875,1239796800,291.03998
35.625,353.125,1239796800,290.9
35.625,353.375,1239796800,290.77
35.625,353.625,1239796800,290.56
35.625,353.875,1239796800,290.57
35.625,354.125,1239796800,290.61
35.625,354.375,1239796800,
35.625,354.625,1239796800,289.77
35.625,354.875,1239796800,289.85
35.625,355.125,1239796800,289.83
35.625,355.375,1239796800,289.82
35.625,355.625,1239796800,289.75
35.625,355.875,1239796800,289.75
35.625,356.125,1239796800,289.69
35.625,356.375,1239796800,289.6
35.625,356.625,1239796800,289.61
35.625,356.875,1239796800,289.59
35.625,357.125,1239796800,289.55
35.625,357.375,1239796800,289.56
35.625,357.625,1239796800,289.59
35.625,357.875,1239796800,289.62
35.625,358.125,1239796800,289.69998
35.625,358.375,1239796800,289.75998
35.625,358.625,1239796800,289.78
35.625,358.875,1239796800,289.74
35.625,359.125,1239796800,289.75
35.625,359.375,1239796800,289.94998
35.625,359.625,1239796800,
35.625,359.875,1239796800,
35.875,344.875,1239796800,290.24
35.875,345.125,1239796800,290.22
35.875,345.375,1239796800,290.18
35.875,345.625,1239796800,290.13998
35.875,345.875,1239796800,290.16998
35.875,346.125,1239796800,290.21
35.875,346.375,1239796800,290.24
35.875,346.625,1239796800,290.22998
35.875,346.875,1239796800,290.19
35.875,347.125,1239796800,290.15
35.875,347.375,1239796800,290.19998
35.875,347.625,1239796800,290.27
35.875,347.875,1239796800,290.38998
35.875,348.125,1239796800,290.4
35.875,348.375,1239796800,290.35
35.875,348.625,1239796800,290.38998
35.875,348.875,1239796800,290.53998
35.875,349.125,1239796800,290.68
35.875,349.375,1239796800,290.82
35.875,349.625,1239796800,290.78998
35.875,349.875,1239796800,290.71
35.875,350.125,1239796800,290.69998
35.875,350.375,1239796800,290.71
35.875,350.625,1239796800,290.8
35.875,350.875,1239796800,290.9
35.875,351.125,1239796800,290.93
35.875,351.375,1239796800,290.86
35.875,351.625,1239796800,290.82
35.875,351.875,1239796800,290.85
35.875,352.125,1239796800,290.82
35.875,352.375,1239796800,290.77
35.875,352.625,1239796800,290.82
35.875,352.875,1239796800,290.9
35.875,353.125,1239796800,290.68
35.875,353.375,1239796800,290.5
35.875,353.625,1239796800,290.38998
35.875,353.875,1239796800,290.27
35.875,354.125,1239796800,290.11
35.875,354.375,1239796800,289.96
35.875,354.625,1239796800,289.85
35.875,354.875,1239796800,289.78998
35.875,355.125,1239796800,289.77
35.875,355.375,1239796800,289.75998
35.875,355.625,1239796800,289.72998
35.875,355.875,1239796800,289.72
35.875,356.125,1239796800,289.65
35.875,356.375,1239796800,289.57
35.875,356.625,1239796800,289.53
35.875,356.875,1239796800,289.5
35.875,357.125,1239796800,289.5
35.875,357.375,1239796800,289.50998
35.875,357.625,1239796800,289.59
35.875,357.875,1239796800,289.66
35.875,358.125,1239796800,289.72998
35.875,358.375,1239796800,289.75
35.875,358.625,1239796800,289.75998
35.875,358.875,1239796800,289.72998
35.875,359.125,1239796800,289.69
35.875,359.375,1239796800,289.82
35.875,359.625,1239796800,289.93
35.875,359.875,1239796800,290.08
36.125,344.875,1239796800,290.19998
36.125,345.125,1239796800,290.16
36.125,345.375,1239796800,290.13
36.125,345.625,1239796800,290.07
36.125,345.875,1239796800,290.0
36.125,346.125,1239796800,290.00998
36.125,346.375,1239796800,290.05
36.125,346.625,1239796800,290.03998
36.125,346.875,1239796800,290.03
36.125,347.125,1239796800,290.09
36.125,347.375,1239796800,290.16998
36.125,347.625,1239796800,290.25
36.125,347.875,1239796800,290.41
36.125,348.125,1239796800,290.5
36.125,348.375,1239796800,290.47998
36.125,348.625,1239796800,290.5
36.125,348.875,1239796800,290.59
36.125,349.125,1239796800,290.72
36.125,349.375,1239796800,290.8
36.125,349.625,1239796800,290.69
36.125,349.875,1239796800,290.63
36.125,350.125,1239796800,290.63998
36.125,350.375,1239796800,290.65
36.125,350.625,1239796800,290.72
36.125,350.875,1239796800,290.84
36.125,351.125,1239796800,290.88998
36.125,351.375,1239796800,290.78998
36.125,351.625,1239796800,290.78998
36.125,351.875,1239796800,290.81
36.125,352.125,1239796800,290.74
36.125,352.375,1239796800,290.71
36.125,352.625,1239796800,290.74
36.125,352.875,1239796800,290.69
36.125,353.125,1239796800,290.49
36.125,353.375,1239796800,290.32
36.125,353.625,1239796800,289.96
36.125,353.875,1239796800,289.91998
36.125,354.125,1239796800,289.88
36.125,354.375,1239796800,289.78998
36.125,354.625,1239796800,289.56
36.125,354.875,1239796800,289.58
36.125,355.125,1239796800,289.63998
36.125,355.375,1239796800,289.69
36.125,355.625,1239796800,289.69
36.125,355.875,1239796800,289.66998
36.125,356.125,1239796800,289.61
36.125,356.375,1239796800,289.53
36.125,356.625,1239796800,289.47
36.125,356.875,1239796800,289.46
36.125,357.125,1239796800,289.44998
36.125,357.375,1239796800,289.44998
36.125,357.625,1239796800,289.52
36.125,357.875,1239796800,289.66998
36.125,358.125,1239796800,289.77
36.125,358.375,1239796800,289.78
36.125,358.625,1239796800,289.78
36.125,358.875,1239796800,289.81
36.125,359.125,1239796800,289.84
36.125,359.375,1239796800,289.85
36.125,359.625,1239796800,289.81
36.125,359.875,1239796800,289.85
36.375,344.875,1239796800,290.16998
36.375,345.125,1239796800,290.13998
36.375,345.375,1239796800,290.11
36.375,345.625,1239796800,290.03998
36.375,345.875,1239796800,289.94998
36.375,346.125,1239796800,289.96
36.375,346.375,1239796800,289.99
36.375,346.625,1239796800,289.97998
36.375,346.875,1239796800,290.0
36.375,347.125,1239796800,290.09
36.375,347.375,1239796800,290.13998
36.375,347.625,1239796800,290.24
36.375,347.875,1239796800,290.38
36.375,348.125,1239796800,290.44
36.375,348.375,1239796800,290.47
36.375,348.625,1239796800,290.59
36.375,348.875,1239796800,290.66
36.375,349.125,1239796800,290.72
36.375,349.375,1239796800,290.72998
36.375,349.625,1239796800,290.66998
36.375,349.875,1239796800,290.59
36.375,350.125,1239796800,290.58
36.375,350.375,1239796800,290.52
36.375,350.625,1239796800,290.44998
36.375,350.875,1239796800,290.59
36.375,351.125,1239796800,290.72
36.375,351.375,1239796800,290.74
36.375,351.625,1239796800,290.77
36.375,351.875,1239796800,290.8
36.375,352.125,1239796800,290.66
36.375,352.375,1239796800,290.62
36.375,352.625,1239796800,290.62
36.375,352.875,1239796800,290.53
36.375,353.125,1239796800,290.41
36.375,353.375,1239796800,290.18
36.375,353.625,1239796800,290.03
36.375,353.875,1239796800,290.22
36.375,354.125,1239796800,
36.375,354.375,1239796800,
36.375,354.625,1239796800,289.34
36.375,354.875,1239796800,289.38
36.375,355.125,1239796800,289.41
36.375,355.375,1239796800,289.47
36.375,355.625,1239796800,289.6
36.375,355.875,1239796800,289.59
36.375,356.125,1239796800,289.53
36.375,356.375,1239796800,289.50998
36.375,356.625,1239796800,289.55
36.375,356.875,1239796800,289.56
36.375,357.125,1239796800,289.47998
36.375,357.375,1239796800,289.43
36.375,357.625,1239796800,289.44998
36.375,357.875,1239796800,289.61
36.375,358.125,1239796800,289.71
36.375,358.375,1239796800,289.81
36.375,358.625,1239796800,289.82
36.375,358.875,1239796800,289.85
36.375,359.125,1239796800,289.87
36.375,359.375,1239796800,289.85
36.375,359.625,1239796800,289.78998
36.375,359.875,1239796800,289.84
36.625,344.875,1239796800,290.13998
36.625,345.125,1239796800,290.08
36.625,345.375,1239796800,290.07
36.625,345.625,1239796800,290.00998
36.625,345.875,1239796800,289.94
36.625,346.125,1239796800,289.91998
36.625,346.375,1239796800,289.94998
36.625,346.625,1239796800,289.97
36.625,346.875,1239796800,290.02
36.625,347.125,1239796800,290.07
36.625,347.375,1239796800,290.13
36.625,347.625,1239796800,290.19
36.625,347.875,1239796800,290.24
36.625,348.125,1239796800,290.19
36.625,348.375,1239796800,290.11
36.625,348.625,1239796800,290.18
36.625,348.875,1239796800,290.28
36.625,349.125,1239796800,290.47
36.625,349.375,1239796800,290.63998
36.625,349.625,1239796800,290.63998
36.625,349.875,1239796800,290.53998
36.625,350.125,1239796800,290.50998
36.625,350.375,1239796800,290.4
36.625,350.625,1239796800,290.22998
36.625,350.875,1239796800,290.22998
36.625,351.125,1239796800,290.25
36.625,351.375,1239796800,290.25998
36.625,351.625,1239796800,290.22998
36.625,351.875,1239796800,290.27
36.625,352.125,1239796800,290.4
36.625,352.375,1239796800,290.50998
36.625,352.625,1239796800,290.5
36.625,352.875,1239796800,290.43
36.625,353.125,1239796800,290.16
36.625,353.375,1239796800,290.13
36.625,353.625,1239796800,290.41998
36.625,353.875,1239796800,290.68
36.625,354.125,1239796800,
36.625,354.375,1239796800,
36.625,354.625,1239796800,
36.625,354.875,1239796800,
36.625,355.125,1239796800,
36.625,355.375,1239796800,289.3
36.625,355.625,1239796800,289.41
36.625,355.875,1239796800,289.4
36.625,356.125,1239796800,289.44998
36.625,356.375,1239796800,289.53998
36.625,356.625,1239796800,289.52
36.625,356.875,1239796800,289.47998
36.625,357.125,1239796800,289.38998
36.625,357.375,1239796800,289.36
36.625,357.625,1239796800,289.44998
36.625,357.875,1239796800,289.53998
36.625,358.125,1239796800,289.69998
36.625,358.375,1239796800,289.82
36.625,358.625,1239796800,289.86
36.625,358.875,1239796800,289.88
36.625,359.125,1239796800,289.88
36.625,359.375,1239796800,289.85
36.625,359.625,1239796800,289.82
36.625,359.875,1239796800,289.81
36.875,344.875,1239796800,290.12
36.875,345.125,1239796800,290.07
36.875,345.375,1239796800,290.06
36.875,345.625,1239796800,289.97
36.875,345.875,1239796800,289.9
36.875,346.125,1239796800,289.88
36.875,346.375,1239796800,289.87
36.875,346.625,1239796800,289.91
36.875,346.875,1239796800,289.91
36.875,347.125,1239796800,289.87
36.875,347.375,1239796800,289.87
36.875,347.625,1239796800,289.91998
36.875,347.875,1239796800,290.00998
36.875,348.125,1239796800,289.97
36.875,348.375,1239796800,289.85
36.875,348.625,1239796800,289.8
36.875,348.875,1239796800,289.75998
36.875,349.125,1239796800,289.83
36.875,349.375,1239796800,290.06
36.875,349.625,1239796800,290.31
36.875,349.875,1239796800,290.43
36.875,350.125,1239796800,290.37
36.875,350.375,1239796800,290.13
36.875,350.625,1239796800,289.93
36.875,350.875,1239796800,289.62
36.875,351.125,1239796800,289.33
36.875,351.375,1239796800,289.52
36.875,351.625,1239796800,289.69998
36.875,351.875,1239796800,289.75998
36.875,352.125,1239796800,289.88
36.875,352.375,1239796800,290.03
36.875,352.625,1239796800,290.15
36.875,352.875,1239796800,290.05
36.875,353.125,1239796800,290.08
36.875,353.375,1239796800,290.38998
36.875,353.625,1239796800,290.72
36.875,353.875,1239796800,
36.875,354.125,1239796800,
36.875,354.375,1239796800,
36.875,354.625,1239796800,
36.875,354.875,1239796800,
36.875,355.125,1239796800,
36.875,355.375,1239796800,
36.875,355.625,1239796800,
36.875,355.875,1239796800,
36.875,356.125,1239796800,
36.875,356.375,1239796800,
36.875,356.625,1239796800,
36.875,356.875,1239796800,
36.875,357.125,1239796800,
36.875,357.375,1239796800,289.38998
36.875,357.625,1239796800,289.46
36.875,357.875,1239796800,289.53998
36.875,358.125,1239796800,289.71
36.875,358.375,1239796800,289.81
36.875,358.625,1239796800,289.81
36.875,358.875,1239796800,289.85
36.875,359.125,1239796800,289.87
36.875,359.375,1239796800,289.84
36.875,359.625,1239796800,289.84
36.875,359.875,1239796800,289.81
37.125,344.875,1239796800,290.05
37.125,345.125,1239796800,290.02
37.125,345.375,1239796800,289.97
37.125,345.625,1239796800,289.88998
37.125,345.875,1239796800,289.8
37.125,346.125,1239796800,289.75
37.125,346.375,1239796800,289.78
37.125,346.625,1239796800,289.81
37.125,346.875,1239796800,289.8
37.125,347.125,1239796800,289.77
37.125,347.375,1239796800,289.72998
37.125,347.625,1239796800,289.69
37.125,347.875,1239796800,289.72
37.125,348.125,1239796800,289.78998
37.125,348.375,1239796800,289.78
37.125,348.625,1239796800,289.75
37.125,348.875,1239796800,289.78998
37.125,349.125,1239796800,289.85
37.125,349.375,1239796800,289.93
37.125,349.625,1239796800,290.07
37.125,349.875,1239796800,290.16
37.125,350.125,1239796800,290.06
37.125,350.375,1239796800,289.83
37.125,350.625,1239796800,289.63998
37.125,350.875,1239796800,289.25
37.125,351.125,1239796800,288.94998
37.125,351.375,1239796800,289.32
37.125,351.625,1239796800,289.50998
37.125,351.875,1239796800,289.58
37.125,352.125,1239796800,289.49
37.125,352.375,1239796800,289.56
37.125,352.625,1239796800,289.71
37.125,352.875,1239796800,289.87
37.125,353.125,1239796800,290.27
37.125,353.375,1239796800,290.5
37.125,353.625,1239796800,
37.125,353.875,1239796800,
37.125,354.125,1239796800,
37.125,354.375,1239796800,
37.125,354.625,1239796800,
37.125,354.875,1239796800,
37.125,355.125,1239796800,
37.125,355.375,1239796800,
